1	eoHeb	83.93	1	853
2	rYciTtnOB	5.98	2	753
3	XMvcCPJbdW	911.6	3	906
4	LxdMr	2.3	4	956
5	KKpLAUoXBod	557.17	5	939
6	hTpwWlR	55.3	6	924
7	ALCJL	8.3	7	850
8	YNgRFEJFLC	64.6	8	969
9	uhstPgCIcUyx	320.6	9	923
10	wFGiuKu	5.66	10	817
11	pAylr	9.290	11	960
12	neBlGn	90.7	12	788
13	xXATcja	2.3	13	971
14	kTytSOC	8.680	14	925
15	khFDOyJWwN	879.8	15	874
16	irWTL	5.5	16	813
17	GfdiE	74.515	17	789
18	EULKMfIgarP	513.175	18	908
19	mjWOosf	8.789	19	922
20	XGCPQiD	68.6	20	780
21	QbsYJ	174.7	21	760
22	VQmMDi	730.64	22	809
23	RVbRHsVm	15.4	23	835
24	YqdncTruVM	7.7	24	783
25	gfgGim	2.19	25	749
26	iXUgrc	9.11	26	747
27	reUAVxNydcTW	803.98	27	893
28	FjRdMe	0.201	28	797
29	HFCYU	21.72	29	933
30	eGfGf	66.6	30	915
31	oHanAs	75.23	31	764
32	sqlNV	1.340	32	802
33	TeQvN	56.1	33	948
34	OvonVt	5.3	34	766
35	SakHLH	857.0	35	926
36	SriYWLnvq	9.33	36	811
37	oegqm	10.93	37	852
38	NesgAQI	2.1	38	887
39	IoqLMSk	791.140	39	933
40	uvdUuk	474.4	40	770
41	WwwCbCV	331.4	41	767
42	visOEHMQLD	246.8	42	781
43	cmGpnInv	660.196	43	976
44	fBxgVBFBNn	8.10	44	985
45	XxjFK	7.3	45	765
46	GBvQWA	1.483	46	783
47	BRlpQ	51.5	47	774
48	VxbvHxaMH	96.120	48	977
49	ARbfD	5.8	49	847
50	iGLpttx	757.91	50	751
51	ndHCMTSO	52.1	51	762
52	PwFBPhW	997.8	52	819
53	MIKABr	6.618	53	823
54	CQMFYF	96.8	54	972
55	eyIAU	46.482	55	828
56	eOSVNCy	993.17	56	797
57	JCevUXNUno	3.42	57	919
58	fVIOfcne	7.53	58	776
59	JTabq	9.83	59	899
60	UnjusaM	307.62	60	855
61	eOhgfmK	68.414	61	916
62	XmSJQ	8.7	62	838
63	nYNvBkDm	3.0	63	886
64	smple	632.8	64	871
65	aCrUShE	4.445	65	783
66	nRadXHqkQ	2.15	66	954
67	wLXFNda	99.7	67	987
68	yTQYS	8.93	68	903
69	FTQbE	654.641	69	753
70	CquuohPbxDh	876.90	70	859
71	LyqQX	87.64	71	782
72	vNNIYxL	7.0	72	912
73	dUNGvdd	384.149	73	825
74	SWTtxu	93.9	74	822
75	tcGKVgMhhlnp	4.6	75	967
76	tykVgI	5.9	76	922
77	UASQQ	867.59	77	831
78	pdcrh	636.115	78	879
79	TYEbv	4.387	79	986
80	hmNXfIB	4.62	80	825
81	KXPBMXDGPrE	85.82	81	763
82	uPsOP	5.37	82	846
83	uPKMV	83.83	83	891
84	lhItd	3.758	84	979
85	ceGNHXgdbJ	48.78	85	852
86	hTAiS	8.7	86	810
87	nwJhrJCK	77.93	87	844
88	xXEcj	30.42	88	948
89	Pcyfvy	86.0	89	929
90	fGgKG	710.57	90	887
91	WUVcAHCjcu	92.80	91	863
92	PvlTk	82.6	92	808
93	BMrrJOXEu	344.745	93	897
94	iuQfaAJqWQ	461.6	94	944
95	sSHJkdjYqCBE	8.7	95	979
96	weihV	84.53	96	828
97	ntieqE	2.5	97	875
98	oRCFlXJ	203.16	98	833
99	DQeFAC	336.735	99	881
100	gXKgIdvG	121.9	100	807
101	jkrWSDexdWIK	8.36	101	983
102	knGAM	410.9	102	746
103	QlIoBAAywA	0.2	103	891
104	IQiuB	85.700	104	964
105	KxQbG	2.8	105	936
106	pvmpJMCtoLlDOT	0.1	106	786
107	gTmxFkS	215.556	107	952
108	jGwaV	46.16	108	884
109	EKlCg	862.3	109	945
110	iBwitk	5.6	110	961
111	eXYtcLGpA	8.201	111	904
112	yEFdHRV	16.53	112	790
113	chRvxf	8.93	113	769
114	JFpygABWUr	17.733	114	939
115	QBEtesDGDO	94.92	115	899
116	CmIaO	620.55	116	838
117	GahKK	1.3	117	791
118	cfWSNT	1.9	118	883
119	kLEkBEu	31.775	119	786
120	NGvcxNB	31.5	120	812
121	EHthrs	24.64	121	984
122	buXwN	63.6	122	773
123	FotPN	9.91	123	871
124	uiKvHSLVd	85.40	124	967
125	HlKyvmU	99.32	125	875
126	uQxjWWGn	66.253	126	907
127	EXnWsRpK	6.27	127	854
128	JmgCV	55.6	128	770
129	jyqmwpN	57.3	129	982
130	wUNayETN	728.49	130	746
131	QXaGSTN	416.832	131	792
132	EbVvYWNf	5.5	132	936
133	oAdlS	7.5	133	755
134	DcmceuI	86.2	134	764
135	mjCvf	533.266	135	802
136	AlKsVo	562.76	136	926
137	lKtWjnlu	90.11	137	916
138	QSumWEPWYlH	56.10	138	868
139	GggBWqEc	25.6	139	800
140	DuPhHdkvD	59.3	140	769
141	SYkSYHDpc	3.90	141	885
142	ISuTWN	639.93	142	864
143	fnVClY	94.834	143	757
144	yODKUkOhj	93.306	144	788
145	bqtumFx	53.24	145	762
146	RvbdDg	7.626	146	751
147	LbEBvR	2.3	147	950
148	GTVbrSJ	8.31	148	814
149	OMAbN	601.84	149	764
150	UEsENGV	76.983	150	801
151	tdoEJVuBEu	5.49	151	913
152	NwNMBGmP	74.71	152	855
153	ayRNxG	418.27	153	807
154	psvIsiqu	2.1	154	882
155	FaKoWxuAaoU	5.77	155	807
156	GUxtLrtLqqtI	8.14	156	982
157	LAjQJGU	186.9	157	748
158	HQGoBIJBRVkYI	363.5	158	924
159	YQlFW	507.72	159	872
160	KDMGSLcCdmaOLd	24.178	160	887
161	jBUpo	874.824	161	891
162	dlrHQFqN	0.8	162	858
163	QrpGq	98.0	163	986
164	mVXWLIjGRsR	7.77	164	866
165	eKdcH	5.714	165	909
166	IrRMXnC	2.0	166	890
167	JnGPoCR	920.1	167	934
168	hWdNFSvBg	71.33	168	751
169	bjBWx	19.916	169	930
170	MMnGgrGxcj	54.56	170	788
171	qSoAvc	6.50	171	963
172	iseRERbCt	5.851	172	886
173	odhAE	5.80	173	834
174	GTiAWV	63.2	174	754
175	KhNaMKC	486.60	175	887
176	yMIuvnDOe	84.83	176	988
177	Xfxrx	126.30	177	921
178	KUksqOtULTl	7.7	178	839
179	AmSyqY	84.871	179	873
180	PFjhluT	3.85	180	826
181	PvneEj	6.6	181	852
182	YdKGDpYY	7.4	182	829
183	jXbdH	477.96	183	929
184	QIucm	624.167	184	977
185	rhykuoe	598.0	185	851
186	yIwjdPJhh	86.28	186	756
187	DBpFXJ	0.3	187	787
188	PcKTb	545.3	188	898
189	CJLlV	1.183	189	867
190	BISjgnMi	92.493	190	879
191	rWdEu	2.0	191	922
192	iVDlP	1.16	192	815
193	KuLHs	0.304	193	910
194	KnqlDPf	50.37	194	948
195	EhGbIm	531.1	195	860
196	UrUJAdefA	61.42	196	907
197	QBNFw	168.11	197	859
198	uoJNfU	8.521	198	985
199	swdcj	80.72	199	799
200	dwbNDtdHI	75.4	200	844
201	kaatir	83.48	201	960
202	xkLeQQ	745.76	202	762
203	goVLn	7.7	203	758
204	CbwEPoxlEhc	679.9	204	846
205	XXWIeyBTPlldp	50.913	205	961
206	TSGOxHinc	9.7	206	877
207	HncXU	2.62	207	855
208	JoAHBf	84.19	208	988
209	TyIMB	48.9	209	812
210	gEUCyiS	9.1	210	896
211	wlHsMxjE	576.1	211	857
212	xrVaS	92.26	212	943
213	uxHpq	67.1	213	987
214	MhYJRK	7.7	214	948
215	QtAbc	958.68	215	803
216	drAShY	8.923	216	988
217	lrqMe	7.21	217	935
218	qfYJDCNCd	0.561	218	885
219	MGTPOkmKyhvb	897.7	219	927
220	bWfKLwnEn	152.314	220	970
221	psRSS	4.147	221	957
222	ImvqXffk	584.9	222	796
223	vINck	91.849	223	897
224	UHqXueTbQEB	34.83	224	922
225	yuJaogdyx	38.42	225	942
226	TXGvgQPjJ	182.7	226	805
227	rHijKenGKFEk	388.957	227	853
228	DAwaT	781.860	228	805
229	frmBphsm	7.904	229	869
230	bVhnt	23.437	230	859
231	IMRTe	747.2	231	880
232	aAKFdPf	46.759	232	868
233	HhfRi	2.5	233	936
234	Mybcgxn	45.402	234	802
235	CAscjBH	8.109	235	975
236	BnhHqyvmN	3.551	236	893
237	JUXkS	250.6	237	943
238	glBNbY	40.24	238	747
239	UAtCFNs	31.6	239	832
240	bLTWuHIpmIQg	7.8	240	964
241	lnGTy	9.73	241	788
242	eCApA	39.5	242	938
243	MvWCRfM	81.331	243	804
244	qRhcTRM	415.61	244	825
245	xnnHtuSa	6.287	245	832
246	aKBhgAiuVl	4.4	246	982
247	flqFS	2.488	247	893
248	ctQGPBy	7.6	248	912
249	lifqpunSjy	6.5	249	759
250	AvokxB	17.3	250	921
251	TEsBUhGCW	535.3	251	812
252	TdPwd	81.87	252	841
253	enHLsPjLBV	0.23	253	879
254	kscInM	79.93	254	938
255	tfXEL	497.9	255	890
256	eQxep	717.898	256	900
257	xwmRULYi	85.3	257	881
258	tHHKk	4.6	258	932
259	qGfQX	6.3	259	952
260	BcqTAyT	7.8	260	865
261	mvXFT	80.1	261	892
262	CvgWLgG	50.807	262	925
263	OdXwRA	13.5	263	750
264	tOrbkje	53.11	264	817
265	OkyLXPu	299.97	265	879
266	GsTVp	99.5	266	879
267	Mpgktome	98.7	267	970
268	SGyJMu	9.5	268	829
269	WBixlIkmMlrX	837.77	269	969
270	RtbIwi	686.11	270	801
271	rvyRRIlp	46.978	271	834
272	McvgcBkb	5.6	272	829
273	UBJCD	24.397	273	834
274	SUVOr	835.347	274	990
275	ggOXLKdlR	7.330	275	906
276	snwTBSan	252.22	276	926
277	QOPejnh	9.18	277	907
278	rtajapaY	997.4	278	772
279	WRsgw	5.907	279	967
280	fmQBWlLMSqJVUh	60.13	280	980
281	BncRY	4.2	281	769
282	sJPwqNHNOTNEl	0.9	282	876
283	uXiPFA	44.69	283	967
284	rpVwfx	52.228	284	965
285	kMhks	46.0	285	887
286	ivCYi	9.4	286	925
287	YBedmFtKnos	87.25	287	875
288	PiSpeaggbnwx	68.56	288	876
289	xTMNNydq	7.0	289	842
290	YaqTPd	54.205	290	953
291	mvOYShlWWo	4.573	291	760
292	IBjotRCp	5.0	292	797
293	DibJBLbO	344.7	293	902
294	noppLHLdvwT	4.309	294	965
295	wPeyV	0.0	295	856
296	hbNKEJYO	1.0	296	762
297	yWvrFAR	674.2	297	905
298	Lafvj	847.431	298	979
299	xfXFu	3.28	299	839
300	WBDaQL	9.4	300	925
301	HbNrqyWtJn	9.3	301	864
302	pQbkkclyH	2.526	302	799
303	ekEoDdMviaY	662.9	303	780
304	XjpOn	14.0	304	895
305	JkcDiBn	456.846	305	873
306	YOlbLwUbOn	72.3	306	957
307	SKKra	74.2	307	823
308	AQQBLKk	0.693	308	800
309	CugWLGHpnH	2.515	309	750
310	MKauXvRJwv	978.78	310	770
311	VqUrh	89.3	311	776
312	iMsQVRWN	4.5	312	788
313	nGnHA	65.2	313	746
314	qkqyi	1.7	314	809
315	pqpmPQH	60.446	315	814
316	ynIAge	466.4	316	963
317	kdDmjIFXoJNg	488.731	317	855
318	qLdyyTpMvjEjW	59.82	318	830
319	GVRyP	643.434	319	880
320	dlFMLWm	5.1	320	918
321	VsnqptRDcD	12.1	321	773
322	vxWOe	31.14	322	878
323	cUwLi	687.8	323	930
324	LivtUXhtmu	2.56	324	880
325	CoLEb	8.9	325	746
326	WlrLqGt	7.41	326	845
327	OVXWNqo	1.33	327	891
328	pIiajmn	521.0	328	972
329	XJTNi	3.82	329	774
330	nEdSntiq	932.750	330	881
331	FVNGWx	4.45	331	901
332	kBatIYI	6.5	332	894
333	AAxrs	1.38	333	838
334	NjWDvkDq	596.45	334	890
335	relJN	574.480	335	805
336	nIpYk	8.3	336	851
337	oUerVtnnnSUE	863.8	337	917
338	CXARlsCC	308.7	338	855
339	NTUNGmd	132.937	339	954
340	jAmTi	59.8	340	962
341	XPbOF	55.2	341	842
342	qxXUumBEnv	75.26	342	880
343	EBrXPei	5.1	343	757
344	orPMjJJ	2.484	344	881
345	eNLUNGk	8.24	345	765
346	tPjuCkLUHNBI	86.3	346	888
